50,D4,375,187,78
53,F4,562,188,87
57,A4,750,187,95
50,D4,937,188,68
53,F4,1125,187,88
57,A4,1312,188,93
62,D5,1500,187,96
64,E5,1687,94,91
62,D5,1781,94,79
60,C5,1875,187,78
62,D5,2062,94,86
60,C5,2156,94,77
58,A#4,2250,93,80
60,C5,2437,94,87
58,A#4,2531,94,77
57,A4,2625,187,79
58,A#4,2812,94,84
57,A4,2906,94,78
55,G4,3000,187,81
57,A4,3187,94,86
58,A#4,3281,94,86
57,A4,3375,367,79
57,A4,4125,93,92
55,G4,4218,94,88
53,F4,4312,94,90
52,E4,4406,94,90
50,D4,4500,187,117
50,D4,6000,164,88
50,D4,6375,187,63
53,F4,6562,188,73
57,A4,6750,187,83
50,D4,6937,188,59
53,F4,7125,187,73
57,A4,7312,188,80
62,D5,7500,1874,77
62,D5,9374,188,54
64,E5,9562,188,53
62,D5,9750,187,48
60,C5,9937,188,44
58,A#4,10125,187,46
62,D5,10312,188,53
57,A4,10500,1500,47
57,A4,12000,374,49
57,A4,12374,188,51
58,A#4,12562,188,62
57,A4,12750,187,65
55,G4,12937,188,63
53,F4,13125,187,66
57,A4,13312,188,83
52,E4,13500,1874,77
52,E4,15374,188,94
53,F4,15562,188,100
57,A4,15750,187,112
49,C#4,15937,188,77
52,E4,16125,187,94
53,F4,16312,188,90
50,D4,16500,1664,78
50,D4,18375,187,55
53,F4,18562,187,67
57,A4,18749,188,79
50,D4,18937,188,62
53,F4,19125,187,83
57,A4,19312,188,92
62,D5,19500,1875,106
62,D5,21375,187,89
64,E5,21562,187,99
65,F5,21749,188,106
64,E5,21937,188,94
62,D5,22125,187,88
57,A4,22312,188,82
58,A#4,22500,1875,100
58,A#4,24375,187,98
60,C5,24562,187,102
62,D5,24749,188,107
60,C5,24937,188,90
58,A#4,25125,187,88
57,A4,25312,188,89
55,G4,25500,1875,92
55,G4,27375,187,96
57,A4,27562,187,104
55,G4,27749,188,94
53,F4,27937,188,89
52,E4,28125,187,88
50,D4,28312,188,88
57,A4,28500,1500,108
57,A4,30000,671,64
57,A4,30749,672,54
57,A4,31687,188,48
58,A#4,31875,187,47
60,C5,32062,188,50
57,A4,32250,187,47
45,A3,32437,188,33
50,D4,32625,187,50
53,F4,32812,188,51
57,A4,33000,1500,56
55,G4,34500,671,60
55,G4,35250,671,60
55,G4,36187,188,55
57,A4,36375,187,64
58,A#4,36562,188,64
57,A4,36750,187,59
50,D4,36937,188,51
52,E4,37125,187,59
53,F4,37312,187,62
50,D4,37499,165,57
52,E4,37875,187,60
53,F4,38062,188,71
55,G4,38250,187,82
57,A4,38437,188,83
58,A#4,38625,187,91
60,C5,38812,188,87
62,D5,39000,750,98
53,F4,39750,750,98
57,A4,39750,750,98
53,F4,39750,937,92
58,A#4,40687,937,92
62,D5,40687,937,92
62,D5,40687,188,87
64,E5,40875,187,98
65,F5,41062,188,102
64,E5,41250,187,97
62,D5,41437,188,91
57,A4,41625,187,84
60,C5,41812,188,100
62,D5,42000,1007,107
57,A4,43125,93,87
60,C5,43218,94,101
62,D5,43312,94,101
65,F5,43406,93,104
60,C5,43499,672,89
52,E4,44250,187,87
55,G4,44437,375,101
60,C5,44812,188,96
60,C5,45187,188,91
62,D5,45375,187,103
64,E5,45562,188,102
62,D5,45750,187,88
60,C5,45937,188,81
53,F4,46125,187,68
55,G4,46312,188,80
48,C4,46500,750,79
53,F4,47250,750,79
57,A4,47250,750,79
49,C#4,47250,187,71
57,A4,47437,187,71
52,E4,47437,375,59
55,G4,47812,375,59
52,E4,47812,187,50
49,C#4,47999,188,50
50,D4,47999,750,54
53,F4,48749,750,54
55,G4,48749,187,54
50,D4,48936,187,54
50,D4,48936,375,46
53,F4,49311,375,46
50,D4,49311,187,44
49,C#4,49498,750,51
52,E4,50248,751,51
53,F4,50248,187,52
49,C#4,50435,187,52
49,C#4,50435,375,45
52,E4,50810,375,45
48,C4,50810,188,44
50,D4,50998,671,52
49,C#4,51748,187,61
57,A4,51935,187,61
52,E4,51935,375,47
55,G4,52310,375,47
49,C#4,52310,187,44
52,E4,52497,188,44
50,D4,52497,750,51
53,F4,53247,750,51
55,G4,53247,187,53
50,D4,53434,187,53
50,D4,53434,375,45
53,F4,53809,375,45
45,A3,53809,187,43
50,D4,53996,188,43
44,G#3,53996,750,53
52,E4,54746,750,53
53,F4,54746,187,51
50,D4,54933,187,51
52,E4,54933,188,47
50,D4,55308,187,43
49,C#4,55495,1500,59
57,A4,56995,1501,59
50,D4,56995,750,74
53,F4,57745,750,74
57,A4,57745,750,74
53,F4,57745,937,72
57,A4,58682,937,72
50,D4,58682,937,72
57,A4,58682,188,64
58,A#4,58870,187,72
60,C5,59057,188,77
57,A4,59245,187,67
45,A3,59432,188,50
50,D4,59620,187,75
53,F4,59807,188,76
50,D4,59995,1500,78
53,F4,61495,1500,78
57,A4,61495,1499,78
46,A#3,61495,750,59
50,D4,62245,750,59
55,G4,62245,751,59
46,A#3,62245,937,56
50,D4,63182,937,56
55,G4,63182,937,56
55,G4,63182,188,47
57,A4,63370,187,56
58,A#4,63557,188,64
57,A4,63745,187,65
55,G4,63932,188,67
50,D4,64120,187,65
52,E4,64307,188,81
53,F4,64495,1500,90
50,D4,65995,1500,90
53,F4,65995,750,120
57,A4,66745,750,120
62,D5,66745,750,120
53,F4,66745,937,101
58,A#4,67682,937,101
62,D5,67682,937,101
62,D5,67682,188,88
64,E5,67870,187,100
65,F5,68057,188,99
64,E5,68245,187,93
62,D5,68432,188,91
57,A4,68620,187,84
60,C5,68807,188,103
53,F4,68995,1500,105
57,A4,70495,1500,105
62,D5,70495,1500,105
50,D4,70495,750,62
55,G4,71245,750,62
58,A#4,71245,750,62
49,C#4,71245,937,64
52,E4,72182,937,64
57,A4,72182,937,64
57,A4,72182,188,67
52,E4,72370,187,60
53,F4,72557,188,73
57,A4,72745,187,83
55,G4,72932,188,66
53,F4,73120,187,66
52,E4,73307,188,69
50,D4,73495,1687,67
43,G3,75370,242,86
45,A3,75612,242,86
49,C#4,75612,242,86
50,D4,75612,250,97
41,F3,75862,250,97
45,A3,75862,250,97
--end--
38,D3,375,187,71
41,F3,562,188,79
45,A3,750,187,89
38,D3,937,188,61
41,F3,1125,187,80
45,A3,1312,188,83
50,D4,1500,187,92
52,E4,1687,94,82
50,D4,1781,94,73
48,C4,1875,187,71
50,D4,2062,94,79
48,C4,2156,94,70
46,A#3,2250,93,73
48,C4,2437,94,81
46,A#3,2531,94,71
45,A3,2625,93,71
46,A#3,2812,94,79
45,A3,2906,94,71
